StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3109,1,4,26,2020-07-23T09:36:23+08:00
TXG3110,1,14,14,2020-07-23T09:36:28+08:00
TXG3111,1,20,16,2020-07-23T09:36:36+08:00
TXG3112,1,0,1,2020-07-23T09:36:37+08:00
TXG3113,1,11,21,2020-07-23T09:36:19+08:00
TXG3114,1,18,21,2020-07-23T09:36:19+08:00
TXG3115,1,9,21,2020-07-23T09:36:15+08:00
TXG3116,1,18,12,2020-07-23T09:36:36+08:00
TXG3117,1,18,12,2020-07-23T09:36:19+08:00
TXG3118,1,24,14,2020-07-23T09:36:21+08:00
TXG3119,1,23,13,2020-07-23T09:36:19+08:00
TXG3120,1,22,22,2020-07-23T09:36:31+08:00
TXG3121,1,19,19,2020-07-23T09:36:26+08:00
TXG3122,1,17,19,2020-07-23T09:36:22+08:00
TXG3123,1,25,21,2020-07-23T09:36:41+08:00
TXG3124,1,10,24,2020-07-23T09:36:15+08:00
TXG3125,1,22,8,2020-07-23T09:36:36+08:00
TXG3126,1,23,14,2020-07-23T09:36:38+08:00
TXG3127,1,12,18,2020-07-23T09:36:46+08:00
TXG3128,1,18,16,2020-07-23T09:36:24+08:00
TXG3129,1,23,15,2020-07-23T09:36:18+08:00
TXG3130,1,21,9,2020-07-23T09:35:17+08:00
TXG3131,1,15,25,2020-07-23T09:36:34+08:00
TXG3132,1,16,20,2020-07-23T09:35:42+08:00
TXG3133,1,14,24,2020-07-23T09:36:39+08:00
TXG3134,1,12,23,2020-07-23T09:36:43+08:00
TXG3135,1,21,19,2020-07-23T09:36:35+08:00
TXG3136,1,33,7,2020-07-23T09:36:20+08:00
TXG3137,1,16,18,2020-07-23T09:36:17+08:00
TXG3138,1,19,13,2020-07-23T09:36:33+08:00
TXG3139,1,24,16,2020-07-23T09:36:36+08:00
TXG3140,1,18,14,2020-07-23T09:36:26+08:00
TXG3141,1,19,31,2020-07-23T09:36:45+08:00
TXG3142,1,16,14,2020-07-23T09:36:27+08:00
TXG3143,1,23,27,2020-07-23T09:36:43+08:00
TXG3144,1,14,20,2020-07-23T09:36:39+08:00
TXG3145,1,24,18,2020-07-23T09:36:37+08:00
TXG3146,1,14,13,2020-07-23T09:36:42+08:00
TXG3147,1,21,13,2020-07-23T09:36:44+08:00
TXG3148,1,16,13,2020-07-23T09:36:22+08:00
TXG3149,1,32,28,2020-07-23T09:36:25+08:00
TXG3150,1,15,15,2020-07-23T09:36:17+08:00
TXG3151,1,12,20,2020-07-23T09:36:27+08:00
TXG3152,1,21,17,2020-07-23T09:36:28+08:00
TXG3153,1,19,13,2020-07-23T09:36:19+08:00
TXG3154,1,10,25,2020-07-23T09:36:46+08:00
TXG3155,1,11,19,2020-07-23T09:36:25+08:00
TXG3156,1,11,19,2020-07-23T09:36:24+08:00
TXG3157,1,15,25,2020-07-23T09:36:27+08:00
TXG3158,1,13,23,2020-07-23T09:36:26+08:00
TXG3159,1,17,19,2020-07-23T09:36:20+08:00
TXG3160,1,20,12,2020-07-23T09:36:17+08:00
TXG3161,1,16,20,2020-07-23T09:36:37+08:00
TXG3162,1,24,20,2020-07-23T09:36:32+08:00
TXG3163,1,15,17,2020-07-23T09:36:26+08:00
TXG3164,1,17,18,2020-07-23T09:36:17+08:00
TXG3165,1,18,12,2020-07-23T09:36:39+08:00
TXG3166,1,9,25,2020-07-23T09:36:15+08:00
TXG3167,1,12,22,2020-07-23T09:36:19+08:00
TXG3168,1,13,17,2020-07-23T09:36:18+08:00
TXG3169,1,11,21,2020-07-23T09:36:37+08:00
TXG3170,1,18,14,2020-07-23T09:36:28+08:00
TXG3171,1,12,28,2020-07-23T09:36:43+08:00
TXG3172,1,21,13,2020-07-23T09:36:40+08:00
TXG3173,1,18,14,2020-07-23T09:36:36+08:00
TXG3174,1,16,14,2020-07-23T09:36:33+08:00
TXG3175,1,18,26,2020-07-23T09:36:39+08:00
TXG3176,1,29,11,2020-07-23T09:36:25+08:00
TXG3177,1,9,31,2020-07-23T09:36:44+08:00
TXG3178,1,9,27,2020-07-23T09:36:44+08:00
TXG3179,1,18,12,2020-07-23T09:35:38+08:00
TXG3180,1,29,7,2020-07-23T09:36:31+08:00
TXG3181,1,19,11,2020-07-23T09:36:41+08:00
TXG3182,1,16,19,2020-07-23T09:36:38+08:00
TXG3183,1,8,36,2020-07-23T09:36:28+08:00
TXG3184,1,12,20,2020-07-23T09:36:28+08:00
TXG3185,1,13,17,2020-07-23T09:36:24+08:00
TXG3186,1,20,14,2020-07-23T09:35:16+08:00
TXG3187,1,5,47,2020-07-23T09:36:36+08:00
TXG3188,1,18,32,2020-07-23T09:36:41+08:00
TXG3189,1,17,13,2020-07-23T09:36:43+08:00
TXG3190,1,24,16,2020-07-23T09:36:35+08:00
TXG3191,1,30,22,2020-07-23T09:36:42+08:00
TXG3192,1,13,23,2020-07-23T09:36:42+08:00
TXG3193,1,14,20,2020-07-23T09:36:25+08:00
TXG3194,1,14,26,2020-07-23T09:36:37+08:00
TXG3195,1,11,19,2020-07-23T09:36:15+08:00
TXG3196,1,10,24,2020-07-23T09:36:33+08:00
TXG3197,1,17,13,2020-07-23T09:36:23+08:00
TXG3198,1,5,23,2020-07-23T09:36:32+08:00
TXG3199,1,22,14,2020-07-23T09:36:27+08:00
